Tamaño de la matriz,Número de iteraciones,Tiempos LU,Errores LU,Tiempos JMat,Errores JMat,Tiempos GSMat,Errores GSMat,Tiempos JSum,Errores JSum,Tiempos GSSum,Errores GSSum
10,10,1e-06,1.13712e-18,7e-06,12.5874,7e-06,2.62561e-05,2e-06,12.5874,1e-06,4.85909e-06
10,10,1e-06,2.67641e-19,7e-06,6.29461,7e-06,5.49917e-06,1e-06,6.29461,1e-06,5.49917e-06
10,10,1e-06,2.02836e-18,7e-06,0.00411198,6e-06,1.50445e-05,2e-06,0.00411198,1e-06,2.37897e-09
10,10,1e-06,5.11417e-19,7e-06,22.0428,7e-06,4.26491e-05,1e-06,22.0428,1e-06,4.26491e-05
10,10,1e-06,0,7e-06,25.1819,7e-06,1.4298e-05,2e-06,25.1819,1e-06,1.4298e-05
10,10,2e-06,1.6901e-18,7e-06,28.3295,7e-06,4.16945e-06,2e-06,28.3295,1e-06,4.16945e-06
10,10,1e-06,2.09394e-18,7e-06,9.43747,7e-06,8.95805e-06,2e-06,9.43747,1e-06,8.95805e-06
10,10,1e-06,4.66333e-19,8e-06,0.00151293,7e-06,6.80399e-06,1e-06,0.00151293,1e-06,9.89106e-10
10,10,1e-06,2.58566e-19,6e-06,18.891,6e-06,1.37275e-05,1e-06,18.891,1e-06,1.37275e-05
10,10,1e-06,8.89112e-19,7e-06,15.7397,7e-06,4.6068e-06,2e-06,15.7397,1e-06,4.6068e-06
10,10,1e-06,2.67339e-18,9e-06,3.13914,6e-06,6.57215e-06,1e-06,3.13914,1e-06,8.54237e-07
10,25,3e-06,7.85579e-19,1.5e-05,15.6271,7e-06,1.45646e-05,4e-06,15.6271,4e-06,9.83752e-17
10,25,1e-06,4.78771e-19,6e-06,3.12196,5e-06,1.41868e-05,3e-06,3.12196,3e-06,6.81135e-14
10,25,1e-06,2.59983e-19,7e-06,25.0258,5e-06,7.6261e-06,2e-06,25.0258,3e-06,3.75807e-16
10,25,1e-06,2.58566e-19,6e-06,21.8751,5e-06,8.12972e-06,3e-06,21.8751,3e-06,1.36356e-14
10,25,1e-06,1.12674e-18,6e-06,3.11594,4e-06,2.03326e-05,2e-06,3.11594,3e-06,6.07109e-15
10,25,1e-06,1.29198e-18,6e-06,24.9718,4e-06,1.22895e-05,2e-06,24.9718,3e-06,1.14564e-15
10,25,1e-06,2.46939e-19,6e-06,18.7512,6e-06,1.12696e-05,2e-06,18.7512,3e-06,4.52208e-15
10,25,1e-06,1.46768e-18,6e-06,24.9743,4e-06,1.01101e-05,2e-06,24.9743,3e-06,9.02992e-16
10,25,1e-06,5.44805e-19,6e-06,3.12643,5e-06,4.6882e-06,2e-06,3.12643,3e-06,2.72229e-17
10,25,0,1.56295e-19,6e-06,18.7779,5e-06,1.23483e-05,3e-06,18.7779,3e-06,1.74035e-15
10,25,1e-06,1.04592e-18,6e-06,18.7337,4e-06,6.06881e-06,2e-06,18.7337,3e-06,4.78874e-14
10,25,1e-06,0,6e-06,28.1467,5e-06,1.78033e-05,3e-06,28.1467,3e-06,5.96552e-17
10,25,0,6.98448e-19,6e-06,21.8699,4e-06,1.36486e-05,3e-06,21.8699,3e-06,3.46519e-15
10,25,1e-06,7.51157e-19,6e-06,9.37465,5e-06,1.6423e-05,2e-06,9.37465,3e-06,4.11686e-16
10,25,1e-06,1.94251e-18,7e-06,18.7312,5e-06,7.04982e-06,2e-06,18.7312,3e-06,3.21223e-14
10,25,0,2.04854e-18,6e-06,6.24915,4e-06,1.01521e-05,3e-06,6.24915,3e-06,2.69698e-13
10,25,0,1.65607e-18,6e-06,0.00414926,4e-06,7.97443e-06,2e-06,0.00414926,3e-06,8.09135e-18
10,25,1e-06,1.82713e-18,6e-06,21.8718,5e-06,2.56819e-05,2e-06,21.8718,3e-06,1.82012e-16
10,25,1e-06,1.93037e-18,6e-06,0.00577129,4e-06,6.79418e-06,2e-06,0.00577129,3e-06,4.66837e-18
10,25,1e-06,2.90985e-19,6e-06,15.6161,4e-06,1.95513e-05,2e-06,15.6161,3e-06,3.53557e-13
10,25,0,1.51401e-18,6e-06,0.00365856,4e-06,4.44114e-06,3e-06,0.00365856,3e-06,1.49053e-18
10,25,1e-06,1.81826e-19,6e-06,28.1368,4e-06,2.13341e-05,3e-06,28.1368,3e-06,4.18972e-15
10,25,0,5.6597e-19,6e-06,15.6165,5e-06,1.56737e-05,2e-06,15.6165,3e-06,6.16683e-17
10,25,1e-06,9.59075e-19,7e-06,0.00294854,4e-06,1.45815e-05,2e-06,0.00294854,3e-06,1.73663e-18
10,25,1e-06,0,6e-06,21.8954,4e-06,1.2694e-05,2e-06,21.8954,3e-06,3.76896e-17
10,25,1e-06,1.60905e-18,5e-06,28.1099,4e-06,1.50786e-05,2e-06,28.1099,3e-06,2.99107e-15
10,25,0,1.06782e-18,6e-06,18.732,4e-06,9.20586e-06,3e-06,18.732,3e-06,4.28425e-14
10,25,1e-06,4.16396e-19,7e-06,15.6282,4e-06,3.69783e-05,3e-06,15.6282,3e-06,2.25391e-14
10,25,1e-06,1.99623e-18,6e-06,21.8665,4e-06,3.68642e-06,2e-06,21.8665,3e-06,3.26734e-17
10,25,1e-06,1.37142e-18,6e-06,18.7402,5e-06,3.7364e-06,3e-06,18.7402,3e-06,2.67831e-16
10,25,0,1.13194e-18,6e-06,18.7229,4e-06,8.51361e-06,3e-06,18.7229,3e-06,9.42249e-16
10,25,1e-06,3.11708e-19,6e-06,28.1529,4e-06,7.48313e-06,2e-06,28.1529,3e-06,1.22813e-15
10,25,1e-06,7.9117e-19,6e-06,6.25194,5e-06,1.63284e-05,3e-06,6.25194,3e-06,5.43284e-16
10,25,0,1.00252e-18,5e-06,9.36505,5e-06,1.49835e-05,2e-06,9.36505,3e-06,3.49242e-16
10,25,1e-06,9.6974e-19,5e-06,6.24451,4e-06,7.37855e-06,2e-06,6.24451,3e-06,3.92454e-17
10,25,0,1.19877e-18,6e-06,25.0132,5e-06,1.14749e-05,2e-06,25.0132,3e-06,2.40362e-15
10,25,1e-06,1.107e-18,6e-06,0.00273225,4e-06,9.07182e-06,2e-06,0.00273225,3e-06,1.14356e-18
10,25,1e-06,0,6e-06,9.36694,4e-06,2.01279e-05,2e-06,9.36694,3e-06,4.90096e-13
10,25,0,1.65496e-18,5e-06,9.39164,4e-06,2.09648e-05,2e-06,9.39164,3e-06,5.46528e-18
10,25,1e-06,7.51157e-19,6e-06,6.24342,4e-06,2.0747e-05,2e-06,6.24342,4e-06,2.06648e-12
10,25,0,2.31982e-19,6e-06,9.37822,4e-06,1.20966e-05,2e-06,9.37822,3e-06,6.02642e-15
10,25,1e-06,1.99033e-18,6e-06,18.7599,4e-06,6.67062e-06,2e-06,18.7599,3e-06,2.76257e-16
10,25,0,1.54671e-19,5e-06,25.0181,5e-06,1.42307e-05,2e-06,25.0181,3e-06,5.4002e-15
10,25,0,5.81339e-19,6e-06,0.0015645,4e-06,9.71935e-06,3e-06,0.0015645,3e-06,8.03554e-18
10,25,1e-06,0,6e-06,12.5197,4e-06,1.37509e-05,3e-06,12.5197,3e-06,1.28744e-13
10,25,0,2.5953e-18,6e-06,15.6052,4e-06,1.47592e-05,3e-06,15.6052,3e-06,3.63076e-15
10,25,0,1.02856e-18,6e-06,9.38686,4e-06,1.43724e-05,2e-06,9.38686,3e-06,5.57774e-16
10,25,1e-06,2.10514e-18,7e-06,9.3776,7e-06,4.66097e-06,4e-06,9.3776,4e-06,5.68067e-16
10,25,2e-06,1.91815e-18,1.1e-05,12.5033,7e-06,2.25273e-05,4e-06,12.5033,4e-06,2.60434e-16
10,25,1e-06,2.0742e-18,9e-06,3.12451,7e-06,4.73651e-06,4e-06,3.12451,4e-06,5.10291e-17
10,25,1e-06,9.38947e-19,1.1e-05,9.37312,5e-06,4.18066e-06,2e-06,9.37312,3e-06,9.22035e-16
10,25,0,1.0257e-18,5e-06,28.121,5e-06,1.24189e-05,4e-06,28.121,4e-06,5.60686e-14
10,25,1e-06,6.15708e-19,9e-06,25.0235,7e-06,1.71344e-05,4e-06,25.0235,4e-06,3.53723e-15
10,25,1e-06,0,1.2e-05,15.6279,6e-06,1.28377e-05,2e-06,15.6279,3e-06,5.95849e-15
10,25,1e-06,3.0685e-18,6e-06,18.7373,4e-06,6.06638e-06,2e-06,18.7373,3e-06,5.27877e-16
10,25,0,7.81829e-19,5e-06,28.1279,4e-06,8.70061e-06,2e-06,28.1279,3e-06,3.46445e-14
10,25,1e-06,9.51384e-19,5e-06,3.11661,4e-06,1.02074e-05,2e-06,3.11661,3e-06,4.695e-16
10,25,1e-06,1.9214e-19,1e-05,28.1266,7e-06,1.30606e-05,5e-06,28.1266,4e-06,6.61636e-14
10,25,1e-06,0,6e-06,6.24818,4e-06,9.11117e-06,4e-06,6.24818,4e-06,2.88144e-16
10,25,1e-06,1.97793e-19,3.3e-05,6.24827,8e-06,7.03024e-06,5e-06,6.24827,4e-06,4.27574e-17
10,25,1e-06,2.07207e-18,1.2e-05,9.35696,8e-06,7.40564e-06,2e-06,9.35696,3e-06,1.50311e-15
10,25,0,2.12459e-18,6e-06,3.12265,4e-06,2.04942e-05,2e-06,3.12265,3e-06,3.26881e-15
10,25,0,1.14997e-19,9e-06,15.642,7e-06,6.33515e-06,4e-06,15.642,4e-06,1.83123e-15
10,25,1e-06,4.92388e-19,1e-05,18.7131,4e-06,1.13095e-05,2e-06,18.7131,3e-06,1.98974e-15
10,25,1e-06,7.10959e-19,5e-06,12.4998,4e-06,1.1189e-05,2e-06,12.4998,3e-06,1.07172e-13
10,25,0,1.84334e-19,5e-06,9.38946,4e-06,9.8505e-06,2e-06,9.38946,3e-06,1.15025e-14
10,25,0,1.82834e-19,5e-06,15.6287,4e-06,1.47991e-05,2e-06,15.6287,3e-06,5.01616e-15
10,25,0,5.39384e-19,5e-06,3.12089,4e-06,4.48507e-06,2e-06,3.12089,3e-06,5.12135e-19
10,25,1e-06,1.45461e-18,5e-06,28.19,4e-06,2.00442e-05,2e-06,28.19,3e-06,4.16721e-15
10,25,0,1.57583e-18,6e-06,24.993,4e-06,3.17567e-05,2e-06,24.993,3e-06,4.12189e-13
10,25,1e-06,0,5e-06,18.7492,4e-06,2.77672e-05,2e-06,18.7492,3e-06,3.3063e-16
10,25,1e-06,8.67785e-19,6e-06,21.8719,4e-06,2.32442e-05,2e-06,21.8719,3e-06,1.89549e-14
10,25,0,1.53329e-18,6e-06,25.0221,4e-06,6.1909e-06,2e-06,25.0221,3e-06,3.77404e-16
10,25,0,2.51362e-19,5e-06,0.00141432,4e-06,6.32938e-06,2e-06,0.00141432,3e-06,9.2197e-19
10,25,0,2.22195e-18,5e-06,9.37406,4e-06,9.58188e-06,2e-06,9.37406,3e-06,3.56075e-15
10,25,0,2.03414e-18,6e-06,0.0051,4e-06,7.63612e-06,2e-06,0.0051,3e-06,2.16298e-18
10,25,1e-06,1.44244e-18,5e-06,6.2513,4e-06,2.40764e-05,2e-06,6.2513,3e-06,2.45787e-15
10,25,0,2.02836e-19,5e-06,18.7459,4e-06,6.86217e-06,2e-06,18.7459,3e-06,6.13343e-16
10,25,1e-06,1.86848e-18,5e-06,6.25226,4e-06,4.03026e-06,2e-06,6.25226,3e-06,1.80737e-17
10,25,1e-06,3.26444e-18,6e-06,0.00688828,4e-06,2.6193e-05,2e-06,0.00688828,3e-06,1.47002e-15
10,25,1e-06,2.40549e-18,5e-06,28.1025,4e-06,1.36361e-05,2e-06,28.1025,3e-06,2.43779e-15
10,25,1e-06,3.06659e-19,6e-06,12.519,4e-06,7.01307e-06,2e-06,12.519,3e-06,1.42314e-15
10,25,1e-06,1.38846e-18,6e-06,3.124,5e-06,1.06161e-05,2e-06,3.124,3e-06,1.05681e-17
10,25,0,1.61178e-18,6e-06,3.11949,5e-06,1.12861e-05,2e-06,3.11949,3e-06,2.30974e-16
10,25,1e-06,1.0214e-18,6e-06,9.38529,4e-06,2.33608e-05,2e-06,9.38529,3e-06,4.17149e-14
10,25,1e-06,4.37056e-19,5e-06,18.7625,5e-06,9.72629e-06,2e-06,18.7625,3e-06,4.53379e-14
10,25,1e-06,2.78537e-18,6e-06,28.1531,4e-06,1.00412e-05,2e-06,28.1531,3e-06,1.42356e-14
10,25,0,2.28793e-19,5e-06,9.36215,4e-06,2.95622e-06,2e-06,9.36215,3e-06,3.56174e-18
10,25,1e-06,1.107e-18,5e-06,6.25178,4e-06,7.76516e-06,2e-06,6.25178,3e-06,6.78448e-17
10,25,0,1.65851e-18,6e-06,21.8838,4e-06,7.04001e-06,2e-06,21.8838,3e-06,2.15261e-16
10,25,1e-06,2.12736e-18,5e-06,9.37727,4e-06,2.47315e-05,2e-06,9.37727,3e-06,4.66762e-14
10,25,1e-06,1.0623e-18,6e-06,6.2519,4e-06,8.23721e-06,2e-06,6.2519,3e-06,1.77346e-13
10,25,1e-06,1.24211e-18,6e-06,6.24407,4e-06,1.17429e-05,3e-06,6.24407,3e-06,6.10684e-15
10,25,1e-06,9.84776e-19,6e-06,3.12369,4e-06,1.28147e-05,3e-06,3.12369,3e-06,1.72067e-17
10,25,0,1.6263e-18,6e-06,28.139,2.9e-05,1.0404e-05,5e-06,28.139,3e-06,4.58039e-12
10,25,1e-06,1.33229e-18,1.2e-05,6.24699,1e-05,5.79217e-06,4e-06,6.24699,3e-06,3.55823e-17
10,25,3e-06,2.09675e-18,9e-06,21.9024,7e-06,6.4865e-06,4e-06,21.9024,3e-06,2.19301e-16
10,25,1e-06,1.31005e-18,8e-06,3.12265,6e-06,9.92883e-06,4e-06,3.12265,3e-06,9.85551e-18
10,25,1e-06,2.01382e-18,8e-06,0.00378194,4e-06,1.20255e-05,2e-06,0.00378194,3e-06,1.40215e-18
10,25,1e-06,8.8081e-19,5e-06,28.1708,4e-06,3.15642e-05,2e-06,28.1708,3e-06,3.27615e-13
10,50,3e-06,5.96311e-19,1.5e-05,21.6183,7e-06,3.09948e-05,6e-06,21.6183,7e-06,7.37337e-19
10,50,1e-06,4.50303e-19,8e-06,3.08976,4e-06,2.49131e-05,5e-06,3.08976,6e-06,5.8197e-19
10,50,1e-06,2.8459e-18,8e-06,12.338,4e-06,7.17485e-06,5e-06,12.338,6e-06,1.71427e-18
10,50,1e-06,1.07467e-18,8e-06,18.5294,5e-06,7.3545e-06,5e-06,18.5294,6e-06,7.02643e-19
10,50,1e-06,2.59364e-19,8e-06,3.08488,4e-06,5.94529e-06,6e-06,3.08488,6e-06,2.71474e-19
10,50,1e-06,3.84519e-19,8e-06,24.6833,4e-06,1.82587e-05,5e-06,24.6833,6e-06,2.29994e-19
10,50,1e-06,0,7e-06,24.7745,6e-06,5.42381e-06,5e-06,24.7745,6e-06,1.87662e-30
10,50,1e-06,2.1514e-19,8e-06,27.7559,5e-06,6.67001e-06,5e-06,27.7559,6e-06,2.95681e-19
10,50,1e-06,1.96656e-18,8e-06,9.28184,4e-06,1.23958e-05,5e-06,9.28184,6e-06,1.30555e-18
10,50,0,1.72112e-18,8e-06,18.5553,4e-06,1.66891e-05,5e-06,18.5553,6e-06,1.18768e-18
10,50,1e-06,1.95758e-18,8e-06,0.00516673,4e-06,1.0784e-05,5e-06,0.00516673,6e-06,2.5496e-18
10,50,1e-06,2.04854e-18,8e-06,0.00577154,5e-06,9.91454e-06,5e-06,0.00577154,7e-06,2.50073e-18
10,50,0,3.48297e-18,8e-06,24.6984,5e-06,8.05901e-06,5e-06,24.6984,7e-06,2.46283e-18
10,50,1e-06,1.51012e-18,8e-06,6.174,4e-06,5.83462e-06,5e-06,6.174,6e-06,1.46367e-18
10,50,0,1.40529e-18,8e-06,3.0962,4e-06,9.52523e-06,6e-06,3.0962,6e-06,1.74822e-18
10,50,1e-06,8.87458e-19,8e-06,15.4173,5e-06,2.26821e-05,5e-06,15.4173,6e-06,8.20348e-19
10,50,1e-06,1.61178e-18,9e-06,18.5593,5e-06,1.53856e-05,5e-06,18.5593,6e-06,1.20732e-18
10,50,1e-06,2.74498e-18,8e-06,18.5266,4e-06,1.03744e-05,5e-06,18.5266,7e-06,2.16298e-18
10,50,1e-06,2.02546e-18,9e-06,18.5295,5e-06,2.83566e-05,5e-06,18.5295,6e-06,2.24039e-18
10,50,1e-06,2.18998e-18,8e-06,18.5283,5e-06,2.16008e-05,5e-06,18.5283,6e-06,2.13012e-18
10,50,1e-06,1.48361e-18,8e-06,18.5207,4e-06,5.16483e-06,5e-06,18.5207,6e-06,8.20348e-19
10,50,1e-06,1.02999e-18,8e-06,0.00352181,4e-06,2.12e-05,5e-06,0.00352181,6e-06,1.45056e-18
10,50,1e-06,5.93842e-19,8e-06,9.27345,4e-06,1.00961e-05,5e-06,9.27345,6e-06,9.32666e-19
10,50,1e-06,0,8e-06,18.5094,4e-06,9.02831e-06,5e-06,18.5094,6e-06,2.22748e-32
